1,0,1,0,2,0,0,0,0.800000
1,0,1,0,3,0,0,0,0.200000
1,0,1,1,2,2,0,0,0.600000
1,0,1,1,2,3,0,0,0.200000
1,0,1,1,3,2,0,0,0.200000
1,0,1,2,2,2,2,0,0.400000
1,0,1,2,2,2,3,0,0.200000
1,0,1,2,2,3,2,0,0.200000
1,0,1,2,3,2,2,0,0.200000
1,0,1,3,2,2,2,2,0.200000
1,0,1,3,2,2,2,3,0.200000
1,0,1,3,2,2,3,2,0.200000
1,0,1,3,2,3,2,2,0.200000
1,0,1,3,3,2,2,2,0.200000
1,1,1,0,1,0,0,0,0.166667
1,1,1,0,2,0,0,0,0.833333
1,1,1,1,1,2,0,0,0.166667
1,1,1,1,2,1,0,0,0.166667
1,1,1,1,2,2,0,0,0.666667
1,1,1,2,1,2,2,0,0.166667
1,1,1,2,2,1,2,0,0.166667
1,1,1,2,2,2,1,0,0.166667
1,1,1,2,2,2,2,0,0.500000
1,1,1,3,1,2,2,2,0.166667
1,1,1,3,2,1,2,2,0.166667
1,1,1,3,2,2,1,2,0.166667
1,1,1,3,2,2,2,1,0.166667
1,1,1,3,2,2,2,2,0.333333
1,2,1,0,1,0,0,0,0.428571
1,2,1,0,2,0,0,0,0.571429
1,2,1,1,1,1,0,0,0.178571
1,2,1,1,1,2,0,0,0.250000
1,2,1,1,2,1,0,0,0.250000
1,2,1,1,2,2,0,0,0.321429
1,2,1,2,1,1,2,0,0.178571
1,2,1,2,1,2,2,0,0.250000
1,2,1,2,2,1,1,0,0.184524
1,2,1,2,2,1,2,0,0.065476
1,2,1,2,2,2,1,0,0.244048
1,2,1,2,2,2,2,0,0.077381
1,2,1,3,1,1,2,2,0.178571
1,2,1,3,1,2,2,1,0.172619
1,2,1,3,1,2,2,2,0.077381
1,2,1,3,2,1,1,2,0.184524
1,2,1,3,2,1,2,2,0.065476
1,2,1,3,2,2,1,1,0.178571
1,2,1,3,2,2,1,2,0.065476
